CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.10,18,2.31,0,0.53,6.57,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.20,0,7.07,0,0.47,6.42,78.9,4.96,2,242,17.8,392.8,9.14,21.6
0.15,12,2.18,0,0.45,7.18,54.2,6.06,3,222,18.7,394.6,5.33,34.7
0.30,0,8.14,0,0.54,6.99,66.1,5.56,4,307,21.0,396.9,2.94,33.4
0.25,0,5.19,0,0.46,7.15,61.1,6.09,5,224,19.2,390.5,5.21,36.2
0.40,0,12.50,0,0.58,6.43,85.0,3.95,5,311,20.2,395.1,12.43,22.9
0.35,25,4.93,0,0.43,6.01,45.8,6.81,3,300,16.6,392.0,7.67,28.7
0.50,0,10.81,0,0.55,5.89,89.5,3.15,6,305,21.2,389.9,15.17,18.9
0.45,30,3.97,0,0.42,7.04,49.0,7.32,2,233,17.4,396.9,4.11,37.2
0.60,0,18.10,1,0.62,5.63,92.3,2.85,24,666,20.2,396.5,18.13,15.0
0.55,15,6.20,0,0.50,6.75,58.4,5.45,4,279,18.5,393.2,8.05,29.5
0.70,0,15.00,1,0.65,5.95,96.1,2.12,24,711,21.0,390.0,20.45,13.8
0.65,20,5.50,0,0.48,6.88,52.7,5.91,3,276,17.0,395.8,6.30,31.0
0.80,0,20.00,1,0.70,5.40,98.0,1.95,24,720,22.0,388.0,22.10,12.5
0.75,10,7.87,0,0.52,6.20,72.5,4.20,5,330,19.1,391.5,10.25,24.1
0.90,0,22.00,1,0.72,5.10,99.1,1.50,24,730,22.5,385.0,25.30,10.8
0.85,18,4.00,0,0.44,7.30,40.2,7.50,2,250,16.8,396.8,3.80,39.5
1.00,0,25.00,1,0.75,4.95,100.0,1.20,24,740,23.0,380.0,28.50,9.5
0.95,22,3.50,0,0.41,7.50,35.0,8.00,1,220,15.5,397.0,2.50,42.3
1.10,0,27.00,1,0.78,4.80,100.0,1.00,24,750,24.0,375.0,30.00,8.2
